uid,name,longitude,latitude,free_bikes,empty_slots
157,157 - Borges de Medeiros,-43.207324,-22.962884,6,12
158,158 - Lagoa Vasco da Gama,-43.209233,-22.962989,11,7
207,207 - R. da Alfândega,-43.178977,-22.902055,7,16
203,203 - Praça Mauá,-43.181523,-22.896865,17,1
145,145 - Praça David Ben Gurion,-43.19026,-22.937868,0,14
143,143 - Fluminense,-43.184319,-22.93597,3,11
140,140 - Largo do Machado,-43.177714,-22.930687,5,22
141,141 - Barra Shopping,-43.356646,-22.999406,6,8
209,209 - Rua da Quitanda,-43.176561,-22.904005,4,11
208,208 - Av. Passos,-43.184297,-22.902012,0,15
149,149 - Rainha Guilhermina,-43.226655,-22.98522,8,0
263,263 - Almare,-43.357176,-23.010269,1,10
261,261 - Praça Soldado Geraldo da Cruz,-43.320955,-23.010153,4,11
267,267 - Terminal Alvorada Leste,-43.364566,-23.001951,14,5
233,233 - Parque Madureira II,-43.351914,-22.856222,7,21
180,180 - Joaquim Palhares,-43.21033,-22.91255,5,9
329,144 - Casas Casadas,-43.18853,-22.93517,5,10
330,151 - Shopping Leblon,-43.21791,-22.98214,11,0
171,171 - Colégio Militar,-43.22641,-22.91637,11,0
83,83 - Cupertino Durão,-43.220182,-22.986733,18,2
40,40 - Afrânio,-43.217517,-22.986212,17,0
38,38 - Garcia D'Ávila,-43.209282,-22.98582,22,0
113,113 - República do Peru,-43.18358,-22.965706,4,9
39,39 - Aníbal de Mendonça,-43.211511,-22.98545,9,0
176,176 - Radial Oeste,-43.222438,-22.910669,15,0
244,244 - Condomínio Vivendas,-43.339543,-23.010233,5,6
246,246 - Barrabella,-43.345015,-23.010119,1,13
293,293 - Praia da Macumba,-43.479584,-23.03135,8,7
257,257 - Metrô Jardim Oceânico,-43.310954,-23.007348,0,21
70,70 - Praça São Salvador,-43.1798,-22.93403,3,18
201,201 - AquaRio,-43.19325,-22.892672,0,15
337,251 - Campo de São Cristóvão,-43.21942,-22.89841,14,5
338,288 - Campo de São Cristóvão 2,-43.22044,-22.89562,19,4
304,304 - Marechal Jofre,-43.265701,-22.918949,2,5
336,318 - Maxwell 431,-43.247541,-22.922514,7,9
340,243 - Rua São Cristóvão,-43.21728,-22.901789,5,10
343,320 - Silva Pinto,-43.2477,-22.9163,10,4
342,302 - Voluntários da Pátria,-43.18683,-22.95221,0,10
314,314 - AABB Tijuca,-43.21365,-22.91919,1,16
347,353 - Janeiro Hotel,-43.22268,-22.98659,18,0
339,322 - Tijolinho,-43.25157,-22.924527,7,10
295,295 - Clube Caiçaras,-43.2132,-22.98063,9,9
313,344 - Pirajá 153,-43.199943,-22.984553,9,0
352,328 - Chafariz do Lagarto,-43.19511,-22.91173,2,8
351,312 - Lavradio,-43.1832,-22.90921,0,16
305,335 - Teófilo Otoni,-43.17902,-22.90013,17,6
349,130 - General Glicério,-43.19166,-22.94019,1,10
350,310 - Bairro de Fátima,-43.18829,-22.91656,1,17
353,211 - Quinta da Boa Vista,-43.222671,-22.909385,9,5
357,291 - Paróquia de São Cristóvão,-43.215529,-22.895927,6,3
356,284 - Praça Waldemar Costa e Silva,-43.217758,-22.907086,11,4
354,218 - Praça Pedro II,-43.218258,-22.904475,10,0
355,258 - Largo Pedro Lobiano,-43.222834,-22.899794,9,2
362,341 - Colégio Sion,-43.19518,-22.93822,13,8
361,325 - Praça Condessa Paulo de Frontin,-43.2092,-22.92444,0,17
364,315 - E. M. Mário Cláudio,-43.21128,-22.91744,20,2
366,321 - Boulevard Rio Shopping,-43.25074,-22.91878,6,12
367,327 - McDonald's Off Shopping,-43.23444,-22.92302,4,17
363,275 - ASBAC,-43.25465,-22.92402,2,9
372,340 - Praia de Botafogo,-43.18253,-22.94583,1,13
373,301 - Bartolomeu Portela,-43.17622,-22.95085,1,12
71,343 - Domingos Ferreira,-43.185557,-22.971272,2,13
287,287 - Dez e meio,-43.463301,-23.02722,2,7
148,148 - Bartolomeu Mitre,-43.223721,-22.981574,11,3
111,111 - Siqueira Campos,-43.183725,-22.970306,1,16
28,28 - Praça Demétrio Ribeiro,-43.175519,-22.961823,2,27
150,150 - Praça Atahualpa,-43.227707,-22.988057,12,0
46,46 - Clube Piraquê,-43.216724,-22.96642,7,16
262,262 - Jardim Marapendi,-43.35092,-23.01011,7,7
375,346 - Av. Maracanã,-43.231146,-22.917395,1,14
376,357 - Teodoro da Silva,-43.2570098,-22.9198552,1,10
374,300 - Fernandes Guimarães,-43.1824354,-22.9547326,4,10
377,249 - Edifício São Januário,-43.2259274,-22.898963,8,11
25,25 - UFRJ Praia Vermelha,-43.1763587,-22.9529579,7,10
379,72 - Promenade São Clemente,-43.1909853,-22.949928,3,14
370,303 - Carvalho de Mendonça,-43.17886,-22.96564,8,6
24,24 - Lauro Müller,-43.177169,-22.956292,18,4
52,52 - Medalha Milagrosa,-43.212431,-22.915634,15,0
82,82 - Antero de Quental,-43.223151,-22.984952,25,0
383,323 - Rua do Bispo,-43.2131325,-22.923537,0,11
369,292 - Praça Desembargador Araújo Jorge,-43.2972309,-23.0103797,10,7
381,245 - Rua Sabino Vieira,-43.225704,-22.901672,5,10
382,319 - Visconde de Abaeté,-43.243872,-22.9158049,3,11
185,185 - Rua da Lapa,-43.177851,-22.915535,2,12
100,100 - Souza Lima,-43.190875,-22.981799,0,9
384,106 - VLT Rodoviária,-43.2074682,-22.8991715,6,9
76,76 - Baixo Gávea,-43.2252855,-22.9731047,9,9
93,93 - Praça Nossa Senhora Auxiliadora,-43.2220416,-22.9778842,14,0
371,311 - Sinuca da Lapa,-43.1823567,-22.9141346,1,14
183,183 - Defensoria Pública,-43.169304,-22.9088639,0,15
200,200 - Armazém da Utopia,-43.19071100000001,-22.8932617,5,10
360,324 - Aristides Lobo,-43.2087311,-22.920515,0,11
365,316 - Extra Maracanã,-43.2397442,-22.9278852,7,4
61,61 - SESC Tijuca,-43.2422748,-22.9243556,0,17
391,270 - Praça Professor Francisco D'Áuria,-43.2588392,-22.923931,4,11
404,350 - Hilário de Gouvêia,-43.18286,-22.96971,0,23
358,317 - HUPE,-43.23741,-22.91383,1,14
125,125 - Edifício Argentina,-43.180859,-22.942719,11,7
122,122 - Botafogo Praia Shopping,-43.182595,-22.947821,6,8
254,254 - Museu do amanhã,-43.180564,-22.896688,5,3
232,232 - Parque Madureira I,-43.340157,-22.870154,21,8
187,187 - Extra Mariz e Barros,-43.223971,-22.91791,7,10
378,354 - Quinta D'Or,-43.2203959,-22.9057994,9,6
416,358 - Praça Gabriel Soares,-43.2344362,-22.9309236,0,15
389,71 - Palácio Guanabara,-43.18317,-22.93894,3,8
146,146 - Planetário da Gávea,-43.23102,-22.979209,2,13
96,96 - Posto 6,-43.189385,-22.986497,13,2
11,11 - Praça Luiz de Camões,-43.1746,-22.92074,10,5
137,137 - Tucumam,-43.1744096,-22.9353419,15,1
17,17 - Oswaldo Cruz,-43.173577,-22.938452,16,2
442,349 - Instituto Benjamin Constant,-43.17109629523261,-22.953379467196385,9,1
421,216 - Maison Laranjeiras,-43.18356057861562,-22.933015735629855,1,20
142,142 - Praia do Flamengo,-43.173542,-22.927129,8,2
264,264 - Alfa Barra,-43.364867,-23.010788,3,7
241,241 - Posto 4 Barra,-43.325769,-23.011268,3,12
240,240 - Windsor Barra,-43.3212711,-23.0121746,11,4
235,235 - R. Tenente Airton Pereira,-43.301609,-23.014507,8,6
234,234 - Pier Barra da Tijuca,-43.297974,-23.01446,12,1
237,237 - Adilson Serôa da Motta,-43.309691,-23.013687,12,0
238,238 - Port Brise,-43.313852,-23.013824,8,5
236,236 - Praça Jornalista Mário Filho,-43.306659,-23.014772,11,2
239,239 - Praça São Perpétuo,-43.317209,-23.012993,11,2
242,242 - Posto 5 Barra,-43.331118,-23.010631,1,14
259,259 - Posto 9 Recreio,-43.44945,-23.022885,11,5
260,260 - Posto 12 Recreio,-43.468991,-23.030275,7,13
271,271 - Alfa Barra II,-43.369417,-23.010769,3,7
78,78 - Fashion Mall,-43.258595,-22.996072,6,5
231,231 - Prefeito Mendes de Morais,-43.266257,-22.99956,8,5
230,230 - Metrô São Conrado,-43.253625,-22.993594,0,16
80,80 - Praça São Conrado,-43.270801,-23.000536,17,1
439,342 - Quinta da Boa Vista 2,-43.222432241384226,-22.908778654796723,12,3
118,118 - Anchieta,-43.1697,-22.963343,9,0
57,57 - Praça Niterói,-43.235028,-22.915817,8,6
117,117 - Antônio Vieira,-43.172378,-22.964181,6,19
345,280 - Praça Edmundo Rêgo,-43.26436,-22.92278,1,26
114,114 - Cardeal Arcoverde,-43.180422,-22.964994,0,23
